,day_of_year,std_max,std_min
145,05-25,4.149083553428781,4.370685034026889
146,05-26,4.046760762222877,3.9799690953574016
147,05-27,3.920910693533668,4.48031516748542
148,05-28,3.5384118377223084,3.783883939375865
149,05-29,4.386368353585141,4.432780466780036
150,05-30,4.1449376754462,4.872043479554213
151,05-31,4.374605048839651,3.826341725460504
152,06-01,4.344504689835202,3.99175608807283
153,06-02,4.349478972628041,3.4938194477295648
154,06-03,4.255976503694551,3.508797894816213
155,06-04,4.14889744390001,3.8705474634302885
156,06-05,3.824153501103223,3.526856626894084
157,06-06,4.1221470133899825,4.2633135782706315
158,06-07,3.1972523099269767,3.6807658623353565
159,06-08,3.845983705980385,3.553050004338989
160,06-09,3.225209967325126,4.116448388275185
161,06-10,3.1145035452433416,3.754551770850959
162,06-11,3.456307422669471,3.4131480092919033
163,06-12,3.422563610317083,3.7896522707675024
164,06-13,3.136572279840948,3.8727003068487877
165,06-14,3.4097481334159268,3.2611423356445814
166,06-15,3.2889338191375304,3.848200964953196
167,06-16,4.078859644557542,3.36495750344638
168,06-17,3.5197631549106685,4.4587624590985655
169,06-18,3.0016607625335188,3.461130258552351
170,06-19,3.3306455830664365,3.2266557506702442
171,06-20,3.13049532821885,4.5598711604605775
172,06-21,3.4245855223661836,3.9899545527904587
173,06-22,3.3493227176052476,4.01493179684703
174,06-23,2.7519548809285905,3.426838533303436
175,06-24,2.8472506036525833,2.750581635460643
176,06-25,3.0856675128730133,3.461181253079167
177,06-26,2.633649242654247,3.325521663338443
178,06-27,2.51055856998664,3.9820087895433
179,06-28,2.7364693189095606,3.1132403804824746
180,06-29,2.875605559414102,2.865654201050778
181,06-30,2.948426529523841,3.1475228355009586
182,07-01,3.5095439874718815,3.3109578171077136
183,07-02,2.8810413626557527,2.840057921944556
184,07-03,2.6965942717929736,2.4914903170592395
185,07-04,2.9662093093149466,2.855945669417844
186,07-05,2.9750289634444416,3.057207985510088
187,07-06,2.6074986736973296,2.9942263886798415
188,07-07,3.587806897442125,3.187421267001478
189,07-08,2.572769130722779,3.0127076415300147
190,07-09,2.922421256424206,2.5095200736395635
191,07-10,3.0255835249860064,3.075415310707379
192,07-11,2.827106883959864,3.0992485648406336
193,07-12,3.9055222442075666,3.2123264155437217
194,07-13,4.169230544516985,3.350527321681374
195,07-14,4.02485577381351,3.5294554348605507
196,07-15,3.403317646062442,3.485719342307021
197,07-16,2.6524178906549905,2.5915650355206763
198,07-17,2.275730432190947,2.5419082071021664
199,07-18,2.4583573784134765,2.748414694570918
200,07-19,3.0046657051991734,3.0325279883292087
201,07-20,3.5340606012536484,2.689484151282543
202,07-21,2.894390667020153,2.7343230118867288
203,07-22,3.232338575500195,3.1795466133816355
204,07-23,2.8288582502486745,2.682664844267105
205,07-24,2.924977378829913,3.016318561867539
206,07-25,4.065847062216349,3.4763533096239407
207,07-26,3.3143970291240947,3.4240703361155758
208,07-27,3.478881525241509,3.5819004266822683
209,07-28,3.021636311669554,3.1400240444939262
210,07-29,3.5440641924209046,3.178339870645262
211,07-30,4.103349160543546,3.672582061710808
212,07-31,4.149617532576546,3.718327715519438
213,08-01,3.7346281831886117,3.222483514310048
214,08-02,3.9946578910673645,2.8350130511163463
215,08-03,3.5055574925157504,3.0917281036123816
216,08-04,3.232824719446869,2.4958787363705506
217,08-05,3.584953184259625,3.6952154650755173
218,08-06,4.099253509278626,4.409719378826751
219,08-07,4.1140937843791,3.991014908516376
220,08-08,4.276848255432978,4.08128198813397
221,08-09,3.9617094374356374,3.2018412411194537
222,08-10,3.775287097250577,3.219439547498915
223,08-11,3.450210476671438,3.4138713605914743
224,08-12,3.7141098978534988,3.61851663899265
225,08-13,3.5091769215396544,3.0776060501630207
226,08-14,3.485429337494395,3.301560590589467
227,08-15,3.9359784044123023,4.4355919559851475
228,08-16,3.8467398317709622,3.5783994559951875
229,08-17,3.379818930061186,3.3763676241389016
230,08-18,3.2286310308447024,2.9843725191961776
231,08-19,3.8695220204395597,3.598320765764686
232,08-20,3.8471352112102077,3.6712929148552953
233,08-21,3.889614076829038,3.871809310042705
234,08-22,4.0365720605484015,3.1564477924823477
235,08-23,2.9284117993661054,3.7448386703123346
236,08-24,2.7840243653148335,3.279291437694013
237,08-25,3.6136746302528775,2.8888968482796424
238,08-26,3.7249395968256978,3.287037267814287
239,08-27,4.250414411168246,3.2219481684223394
240,08-28,4.7109522038189615,4.099713404617447
241,08-29,4.567678732135178,4.938813892693948
242,08-30,2.9807968733209695,4.08131514751474
243,08-31,3.07565884540748,3.9916048151088286
244,09-01,3.6653834269645884,3.8656309101275186
245,09-02,3.1701785964411062,3.25509436627162
246,09-03,3.5703598324725356,2.952640230934569
247,09-04,4.666988965060874,3.834127453976107
248,09-05,4.141300802083003,3.3078902138170587
249,09-06,4.0672089938924945,4.058078362969348
250,09-07,4.665605248339524,4.120681699266118
251,09-08,4.382039973954298,4.746768128597254
252,09-09,3.9441485350664096,4.216031388244953
253,09-10,3.997541619545696,3.693462557907766
254,09-11,3.6215428572180066,3.780769322064842
255,09-12,4.033844857370353,3.565987334058663
256,09-13,4.897246267036206,4.370809497869557
257,09-14,4.642199119670192,5.010311600422999
258,09-15,4.847994533825303,4.708863698742331
259,09-16,4.8672179938852125,4.407268541852193
260,09-17,4.194038109825269,3.970178081648227
261,09-18,4.5685635233262,3.9443595593370144
262,09-19,5.349161211504719,4.8138415705823405
263,09-20,4.336639520796411,4.301514384492971
264,09-21,5.2881917829569485,5.053438664249663
265,09-22,5.50847428967405,4.490879572348074
266,09-23,4.436963037934835,5.551091123974341
267,09-24,5.040350285446447,5.655356369555036
268,09-25,5.805755047077568,4.112873407566378
269,09-26,5.3787009893963615,5.21637405995135
270,09-27,5.633185392534735,4.8072883208728
271,09-28,4.341370674491336,4.777636863555032
272,09-29,5.32889216129082,5.23698838392194
273,09-30,5.135892489788575,4.973845360148098
274,10-01,4.437093643366127,4.707054705439492
275,10-02,5.567739876586664,4.860301773895652
276,10-03,5.694855661033028,5.9784469276448915
277,10-04,4.6339942454287515,5.102545214563671
